업종,신고번호,상호,우편번호,시설주소(지번),시설주소(도로명),시설부지면적(제곱미터),시설면적(제곱미터),건물연면적(제곱미터),건물구조,지역구분,영업구분,최초등록일자,최근변경일자,민원처리여부,민원처리일자,실내여부,지도자1급,지도자2급,지도자3급,운동시설세부,체육도장업분류여부,체육도장업상세분류,등록기준일
체육도장업,30102-2015-000013,머스트윈복싱,30038,세종특별자치시 조치원읍 죽림리 114-1 ,세종특별자치시 조치원읍 세종로 2282 럭스스퀘어 7층 704705호,4769,354,20137,,,영업중,2015-08-12,2020-03-26,해결,2020-03-26,실내,,1,,바닥면적 [제곱미터] : 171,Y,권투,2022-11-30
체육도장업,30102-2015-000014,세종멀티짐(유도),30016,세종특별자치시 조치원읍 신안리 393 ,세종특별자치시 조치원읍 신안새동네2길 15 2층,159,148,299,,,영업중,2015-08-13,2019-03-15,해결,2019-03-15,실내,,,1,바닥면적 [제곱미터] : 92,Y,유도,2022-11-30
체육도장업,30102-2015-000015,경희대 고운 태권도,30062,세종특별자치시 고운동 1373 ,세종특별자치시 마음로 272-3 801802803호 (고운동),892,210,6488,,,영업중,2015-09-07,2019-12-30,해결,2019-12-30,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2015-000016,신세계 검도관,30019,세종특별자치시 조치원읍 서창리 143-3 ,세종특별자치시 조치원읍 세종로 2449 2층 (세종방송),,223,,,,영업중,2015-10-12,,해결,2015-10-12,실내,,1,,,Y,검도,2022-11-30
체육도장업,30102-2015-000017,바로커 태권도 교육관,30029,세종특별자치시 조치원읍 신흥리 88-3 ,세종특별자치시 조치원읍 대첩로 42,,191,,,,영업중,2015-10-14,2021-01-28,해결,2021-01-28,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2015-000019,스타 국가대표 태권도,30063,세종틋별자치시 고운동,세종특별자치시 마음로 152 B동 2층 201202203호 (고운동 가락마을11단지),,101,,,,영업중,2015-10-19,2020-11-10,해결,2020-11-16,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2015-000020,고려 인성 태권도,30062,세종특별자치시 고운동 산 97 ,세종특별자치시 마음안1로 155 701702호 (고운동 성진프라자),,192,,,,영업중,2015-10-19,,해결,2015-10-19,실내,,,1,바닥면적 [제곱미터] : 192,Y,태권도,2022-11-30
체육도장업,30102-2015-000021,대한 권투 체육관,30100,세종특별자치시 아름동 1296 ,세종특별자치시 보듬3로 100 406호 (아름동 해피라움1),,181,,,,영업중,2015-11-25,2016-11-08,해결,2016-11-10,실내,,1,,바닥면적 [제곱미터] : 181,Y,권투,2022-11-30
체육도장업,30102-2015-000022,원펀치복싱클럽,30100,세종특별자치시 도담동 669 ,세종특별자치시 보듬3로 8-11 (도담동 세종JM빌딩),,173,,,,영업중,2015-11-30,,해결,2015-11-30,실내,,,1,바닥면적 [제곱미터] : 173,Y,권투,2022-11-30
체육도장업,30102-2015-000023,용인대 백호 태권도장,30029,세종특별자치시 조치원읍 신흥리 72-4 ,세종특별자치시 조치원읍 대동학교길 26,,136,,,,영업중,2015-12-17,,해결,2015-12-17,실내,,1,,바닥면적 [제곱미터] : 136,Y,태권도,2022-11-30
체육도장업,30102-2016-000001,도담태권도,30098,세종특별자치시 도담동 181 1015동 116호,세종특별자치시 보듬4로 20 (도담동 도램마을 10단지),,74,,,,영업중,2016-01-07,,,,실내,,,1,,Y,태권도,2022-11-30
체육도장업,30102-2016-000002,경희대 석사 태권도,30100,세종특별자치시 아름동 1297 326동 2034호,세종특별자치시 달빛1로 201 (아름동 범지기마을3단지),,144,,,,영업중,2016-01-08,,해결,2016-01-08,실내,,1,,,Y,태권도,2022-11-30
체육도장업,30102-2016-000004,k타이거즈,30062,세종특별자치시 고운동 1379 ,세종특별자치시 마음로 272-22 1동 7층 703호외2호 (고운동 고운드림),,,,철근콘크리트조,근린상업지역,영업중,2016-02-26,,해결,2016-02-26,실내,,,1,바닥면적  : 281,Y,태권도,2022-11-30
체육도장업,30102-2016-000005,무궁화태권도장,30100,세종특별자치시 아름동,세종특별자치시 달빛로 222 2층 (아름동),,,,,전용주거지역,영업중,2016-03-11,,해결,2016-03-11,실내,,,1,바닥면적 [제곱미터] : 149,Y,태권도,2022-11-30
체육도장업,30102-2016-000007,세종복싱,30063,세종특별자치시 고운동 1717 세종 스마트큐브Ⅰ ,세종특별자치시 고운서길 19 세종 스마트큐브Ⅰ 801802803호 (고운동),,258,,,근린상업지역,영업중,2016-05-03,2018-09-18,해결,2018-09-19,실외,,,1,바닥면적 [제곱미터] : 229,Y,권투,2022-11-30
체육도장업,30102-2016-000008,무궁화 태권도장 세종본관,30150,세종특별자치시 소담동 32-7 ,세종특별자치시 남세종로 358 (소담동 한양수자인),,155,1213,철근콘크리트조,일반주거지역,영업중,2016-06-12,2016-10-31,해결,2016-11-01,실외,1,,,,Y,태권도,2022-11-30
체육도장업,30102-2016-000010,세종 홍복싱 MMA멀티짐,30064,세종특별자치시 종촌동,세종특별자치시 도움1로 106 6층 608호 (종촌동 메가시티),,,,,근린상업지역,영업중,2016-07-18,,해결,2016-07-18,실내,,,1,바닥면적 [제곱미터] : 161,Y,권투,2022-11-30
